train_mp4,label,original,split,audio_altered
aeqpxjlbwu.mp4,FAKE,qarqtkvgby.mp4,train,True
alpkghdgrv.mp4,FAKE,wynotylpnm.mp4,train,True
blwvnvsbmz.mp4,FAKE,vtunvalyji.mp4,train,True
bpguesjrfa.mp4,FAKE,wynotylpnm.mp4,train,True
btizoxwqwp.mp4,FAKE,fnslimfagb.mp4,train,True
bwjqcwhpfr.mp4,FAKE,sttnfyptum.mp4,train,True
bykgnyykta.mp4,FAKE,upmgtackuf.mp4,train,True
cbzxykepbl.mp4,FAKE,fnslimfagb.mp4,train,True
ckfqqhpbph.mp4,FAKE,fnslimfagb.mp4,train,True
cqtxrekabh.mp4,FAKE,fnslimfagb.mp4,train,True
dibwmyrpql.mp4,FAKE,prdrkaxeob.mp4,train,True
dtwxxkuvox.mp4,FAKE,upmgtackuf.mp4,train,True
dzlpfpszyv.mp4,FAKE,dhjnjkzuhq.mp4,train,True
ebzsqgfpgh.mp4,FAKE,fnslimfagb.mp4,train,True
eowsoapzuj.mp4,FAKE,fnslimfagb.mp4,train,True
epwesrdmpt.mp4,FAKE,wynotylpnm.mp4,train,True
fhtmnfeqft.mp4,FAKE,fnslimfagb.mp4,train,True
fhzdtfiqrh.mp4,FAKE,wynotylpnm.mp4,train,True
fjafyicjlw.mp4,FAKE,upmgtackuf.mp4,train,True
fybkxkgstv.mp4,FAKE,wynotylpnm.mp4,train,True
gilzdnbpep.mp4,FAKE,prdrkaxeob.mp4,train,True
gnslnjrgnx.mp4,FAKE,qarqtkvgby.mp4,train,True
gohsbddbhu.mp4,FAKE,sttnfyptum.mp4,train,True
goyrhrvden.mp4,FAKE,fnslimfagb.mp4,train,True
gozbrlxguv.mp4,FAKE,fnslimfagb.mp4,train,True
gpskwigkxd.mp4,FAKE,vtunvalyji.mp4,train,True
gudedkpnie.mp4,FAKE,upmgtackuf.mp4,train,True
gwsmeakcic.mp4,FAKE,ldtgofdaqg.mp4,train,True
hdgfgvcoqk.mp4,FAKE,prdrkaxeob.mp4,train,True
hdytjaiglk.mp4,FAKE,fnslimfagb.mp4,train,True
hectzcuzdv.mp4,FAKE,vtunvalyji.mp4,train,True
hpwdlgshqg.mp4,FAKE,vtunvalyji.mp4,train,True
hsxrmrcaqh.mp4,FAKE,upmgtackuf.mp4,train,True
hyjqolupxn.mp4,FAKE,qarqtkvgby.mp4,train,True
ihnhxathkq.mp4,FAKE,sttnfyptum.mp4,train,True
ikjlhrwzeo.mp4,FAKE,upmgtackuf.mp4,train,True
iocjgjemeb.mp4,FAKE,sttnfyptum.mp4,train,True
iyhkhsdhma.mp4,FAKE,fnslimfagb.mp4,train,True
iyswglziib.mp4,FAKE,fnslimfagb.mp4,train,True
jhetgmikln.mp4,FAKE,fdpisghkmd.mp4,train,True
jwkgjrmfxp.mp4,FAKE,fnslimfagb.mp4,train,True
jxvoarslil.mp4,FAKE,wynotylpnm.mp4,train,True
keuvybqsbr.mp4,FAKE,prdrkaxeob.mp4,train,True
kfgdvqjuzu.mp4,FAKE,ldtgofdaqg.mp4,train,True
kihrpdtbwy.mp4,FAKE,wynotylpnm.mp4,train,True
kjwnylvwuo.mp4,FAKE,hivnldfvyl.mp4,train,True
kkxgqvpusd.mp4,FAKE,ldtgofdaqg.mp4,train,True
kmcdjxmnoa.mp4,FAKE,sttnfyptum.mp4,train,True
kpdsblcqvg.mp4,FAKE,sttnfyptum.mp4,train,True
kpmieleslf.mp4,FAKE,dhjnjkzuhq.mp4,train,True
ksjpgrujqv.mp4,FAKE,sttnfyptum.mp4,train,True
kxhwssipyi.mp4,FAKE,sttnfyptum.mp4,train,True
kzezrsewki.mp4,FAKE,lnjkpdviqb.mp4,train,True
lbsltufgrh.mp4,FAKE,prdrkaxeob.mp4,train,True
lcyjrsfrfx.mp4,FAKE,qarqtkvgby.mp4,train,True
lgqlkfrnuc.mp4,FAKE,fnslimfagb.mp4,train,True
liuujwwgpr.mp4,FAKE,ldtgofdaqg.mp4,train,True
lljlzhmrhp.mp4,FAKE,sttnfyptum.mp4,train,True
lsadkstabm.mp4,FAKE,vtunvalyji.mp4,train,True
lustdsegqq.mp4,FAKE,ldtgofdaqg.mp4,train,True
meehftqexr.mp4,FAKE,upmgtackuf.mp4,train,True
mfgswvvnba.mp4,FAKE,fnslimfagb.mp4,train,True
mmuolksboc.mp4,FAKE,wynotylpnm.mp4,train,True
mnqxygpnmf.mp4,FAKE,vtunvalyji.mp4,train,True
mpuugiqewv.mp4,FAKE,wynotylpnm.mp4,train,True
mwrblsiixn.mp4,FAKE,sttnfyptum.mp4,train,True
nbjwcgpeoi.mp4,FAKE,qarqtkvgby.mp4,train,True
ngyoubuxyf.mp4,FAKE,fnslimfagb.mp4,train,True
nimfdfkezw.mp4,FAKE,hplxtssgnz.mp4,train,True
noavesktql.mp4,FAKE,wynotylpnm.mp4,train,True
nphtrwjtff.mp4,FAKE,lnjkpdviqb.mp4,train,True
nrrselamng.mp4,FAKE,fnslimfagb.mp4,train,True
ntpmamjdyk.mp4,FAKE,sttnfyptum.mp4,train,True
