save_face_bboxes log created at 2020-01-27-23-23-45
2020-01-27-23-31-49 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_25/ajehhdwutm.mp4
2020-01-28-01-00-00 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_25/edjysbcefn.mp4
2020-01-28-01-32-13 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_25/fqezvnpypl.mp4
2020-01-28-05-02-09 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_25/pnuniulniz.mp4
2020-01-28-05-17-12 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_25/qhzmhuieou.mp4
2020-01-28-07-01-11 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_25/urchwltyde.mp4
2020-01-28-08-34-21 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_25/zclobhjlrc.mp4
2020-01-28-09-08-18 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_30/arpyzvkyiq.mp4
2020-01-28-13-06-49 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_30/mtomexzpvg.mp4
2020-01-28-17-31-07 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_7/aqgbewikxk.mp4
2020-01-28-18-05-57 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_7/clzdeecpqt.mp4
2020-01-28-18-10-09 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_7/cpvwreivtv.mp4
2020-01-28-19-24-56 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_7/gakukcytox.mp4
2020-01-28-19-38-13 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_7/guerwoutas.mp4
2020-01-28-19-46-39 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_7/hbonmpugwk.mp4
2020-01-28-22-37-26 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_7/opizockopw.mp4
2020-01-29-00-29-37 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_7/topnmdezrr.mp4
2020-01-29-00-50-35 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_7/uslxvyvyqd.mp4
2020-01-29-21-49-39 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_33/afttsjskam.mp4
2020-01-29-21-54-32 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_33/aonrwsdqqn.mp4
2020-01-29-21-56-17 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_33/aqdcrtujap.mp4
2020-01-29-22-00-47 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_33/awckrpgrza.mp4
2020-01-29-22-03-58 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_33/aznhsktnlr.mp4
2020-01-29-22-10-29 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_33/bkhkouzfsl.mp4
2020-01-29-22-11-27 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_33/blrolvknsm.mp4
2020-01-29-22-15-55 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_33/bqiknntqjb.mp4
2020-01-29-22-18-00 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_33/buyjzpcgjw.mp4
2020-01-29-22-22-00 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_33/cbjaesxmsv.mp4
2020-01-29-22-23-27 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_33/cdypvrvhpo.mp4
2020-01-29-22-27-03 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_33/chnlzyfsrd.mp4
2020-01-29-22-31-22 Error getting boxes for /home/mc/dev/dfdc_train/dfdc_train_part_33/cobtsztpyg.mp4
